,company_name,job_title,min_experience,total_avg_sala,avg_salary_in_lacs,min_salary,max_salary,num_of_salaries
897,Flipkart,Senior Data Scientist,5,8200000,82,55.0L,100.0L,5
1442,Emirates Airlines,Senior Data Engineer,6,6830000,68.3,20.0L,94.0L,5
1462,Uber,Senior Data Engineer,7,6630000,66.3,34.5L,93.0L,5
770,Microsoft Corporation,Senior Data Scientist,4,5640000,56.4,30.0L,100.0L,22
1585,Fidelity International,Data Architect,8,5060000,50.6,23.4L,93.0L,4
666,Google,Data Engineer,3,4530000,45.3,16.5L,93.5L,16
919,Kyndryl,Senior Data Scientist,3,4440000,44.4,11.6L,93.0L,5
758,Walmart,Senior Data Scientist,5,4300000,43,30.0L,65.0L,32
759,Amazon,Senior Data Scientist,5,4150000,41.5,26.0L,75.0L,30
790,PayPal,Senior Data Scientist,6,4070000,40.7,30.0L,45.0L,15
927,Adobe,Senior Data Scientist,8,4000000,40,30.0L,50.0L,4
1599,Hitachi,Data Architect,21,4000000,40,25.0L,50.0L,3
893,Innova Solutions,Senior Data Scientist,4,3970000,39.7,6.0L,97.0L,5
910,Koch Business Solutions,Senior Data Scientist,4,3960000,39.6,23.0L,51.0L,5
1425,Intuit,Senior Data Engineer,8,3900000,39,26.0L,47.0L,5
925,MSCI,Senior Data Scientist,6,3840000,38.4,35.4L,42.0L,4
875,SAP,Senior Data Scientist,7,3660000,36.6,17.2L,51.0L,5
1592,Automatic Data Processing,Data Architect,7,3650000,36.5,14.0L,102.0L,4
1324,Walmart,Senior Data Engineer,6,3570000,35.7,23.0L,49.3L,44
1584,Shell,Data Architect,14,3570000,35.7,33.6L,38.0L,4
1566,JP Morgan Chase,Data Architect,8,3510000,35.1,27.0L,45.0L,8
1426,Expedia,Senior Data Engineer,6,3480000,34.8,30.0L,41.3L,5
894,Automatic Data Processing,Senior Data Scientist,9,3440000,34.4,27.0L,39.4L,5
170,Apple,Data Scientist,2,3360000,33.6,8.2L,74.5L,15
1570,PepsiCo,Data Architect,10,3360000,33.6,26.1L,49.0L,6
1601,T-Systems,Data Architect,16,3330000,33.3,33.0L,34.0L,3
1485,Roche Diagnostics,Senior Data Engineer,5,3310000,33.1,23.5L,43.0L,4
1588,Bajaj Finserv,Data Architect,6,3310000,33.1,19.0L,42.5L,4
1563,Adobe,Data Architect,9,3260000,32.6,30.0L,37.0L,8
921,Chegg,Senior Data Scientist,3,3220000,32.2,29.9L,35.0L,5
23,Microsoft Corporation,Data Scientist,1,3210000,32.1,13.0L,60.0L,81
873,Yodlee,Senior Data Scientist,2,3210000,32.1,27.0L,36.0L,5
1341,Amazon,Senior Data Engineer,6,3200000,32,18.0L,45.0L,19
934,Commonwealth Bank of Australia,Senior Data Scientist,4,3180000,31.8,27.0L,35.0L,4
883,Freelance Consultants,Senior Data Scientist,7,3170000,31.7,18.6L,42.0L,5
902,Samsung Research,Senior Data Scientist,2,3170000,31.7,20.5L,40.0L,5
1368,Commonwealth Bank of Australia,Senior Data Engineer,7,3170000,31.7,20.8L,43.1L,11
784,Blue Yonder,Senior Data Scientist,2,3160000,31.6,18.0L,50.0L,17
868,Paytm,Senior Data Scientist,3,3160000,31.6,27.0L,40.0L,6
872,Oyo Rooms,Senior Data Scientist,3,3100000,31,20.0L,42.0L,5
1351,NIKE,Senior Data Engineer,5,3100000,31,27.0L,35.0L,16
830,Info Edge,Senior Data Scientist,1,3090000,30.9,21.0L,37.0L,8
164,Go-Jek,Data Scientist,3,3050000,30.5,16.5L,44.0L,15
820,Novartis Healthcare,Senior Data Scientist,5,3050000,30.5,16.0L,51.0L,10
918,Blend360,Senior Data Scientist,5,3040000,30.4,26.3L,35.0L,5
1575,Barclays,Data Architect,15,3040000,30.4,30.0L,30.7L,5
769,Ericsson,Senior Data Scientist,7,3020000,30.2,14.2L,50.6L,22
780,Reliance jio,Senior Data Scientist,4,3000000,30,18.5L,46.0L,18
1451,Kloud 9,Senior Data Engineer,7,2990000,29.9,24.0L,39.0L,5
853,Shell,Senior Data Scientist,6,2980000,29.8,22.0L,35.5L,6
1591,Ab Inbev,Data Architect,14,2980000,29.8,26.1L,31.0L,4
1594,Whishworks It Consulting,Data Architect,13,2980000,29.8,20.0L,37.0L,4
914,PepsiCo,Senior Data Scientist,8,2950000,29.5,19.0L,39.5L,5
1388,Koch Business Solutions,Senior Data Engineer,7,2950000,29.5,23.0L,37.0L,9
142,Adobe,Data Scientist,3,2940000,29.4,20.0L,44.0L,17
1371,Oracle,Senior Data Engineer,5,2920000,29.2,15.0L,51.0L,11
1374,Intersoft Data Labs,Senior Data Engineer,3,2920000,29.2,20.0L,37.8L,10
922,First Source,Senior Data Scientist,10,2900000,29,28.0L,30.0L,4
1151,Walmart,Senior Data Analyst,4,2900000,29,16.5L,40.0L,32
1595,ITC Infotech India,Data Architect,12,2900000,29,19.8L,40.0L,4
859,Cerner,Senior Data Scientist,6,2890000,28.9,23.7L,35.8L,6
1345,Morgan Stanley,Senior Data Engineer,6,2880000,28.8,20.0L,36.5L,18
708,Visa,Data Engineer,1,2870000,28.7,16.5L,37.0L,11
1396,American Express,Senior Data Engineer,7,2860000,28.6,22.0L,40.0L,8
1578,IQVIA,Data Architect,8,2860000,28.6,25.0L,34.0L,5
21,Walmart,Data Scientist,2,2830000,28.3,17.8L,41.0L,85
860,Algonomy,Senior Data Scientist,2,2830000,28.3,23.0L,32.0L,6
869,Citicorp,Senior Data Scientist,6,2830000,28.3,21.0L,35.0L,6
1082,Commonwealth Bank of Australia,Senior Business Analyst,5,2830000,28.3,21.0L,38.0L,22
1593,Brillio,Data Architect,14,2830000,28.3,25.0L,38.0L,4
1468,ConcertAI,Senior Data Engineer,5,2820000,28.2,22.0L,32.0L,5
12,Amazon,Data Scientist,2,2810000,28.1,9.5L,50.0L,140
755,Ab Inbev,Senior Data Scientist,3,2800000,28,22.0L,35.0L,44
806,GE Healthcare,Senior Data Scientist,3,2800000,28,24.0L,33.0L,11
933,Aditya Birla Group,Senior Data Scientist,7,2800000,28,26.0L,30.0L,4
984,NetCracker,Senior Business Analyst,10,2800000,28,21.0L,36.0L,62
31,PayPal,Data Scientist,3,2770000,27.7,15.0L,45.0L,57
174,Franklin Templeton Investments,Data Scientist,3,2770000,27.7,15.0L,45.0L,14
804,JP Morgan Chase,Senior Data Scientist,5,2770000,27.7,14.0L,51.0L,12
678,Expedia,Data Engineer,4,2760000,27.6,20.0L,40.0L,13
896,Boeing,Senior Data Scientist,8,2760000,27.6,25.2L,30.0L,5
1475,Telstra,Senior Data Engineer,7,2760000,27.6,18.0L,32.0L,4
1569,Deloitte,Data Architect,11,2760000,27.6,21.2L,32.3L,6
1583,Happiest Minds Technologies,Data Architect,12,2760000,27.6,26.5L,29.0L,4
825,Baker Hughes,Senior Data Scientist,3,2740000,27.4,23.0L,32.0L,9
901,HALODOC,Senior Data Scientist,2,2740000,27.4,18.0L,38.0L,5
843,Franklin Templeton Investments,Senior Data Scientist,7,2730000,27.3,22.0L,32.0L,7
888,Akamai Technologies,Senior Data Scientist,4,2730000,27.3,22.5L,34.0L,5
1332,Visa,Senior Data Engineer,3,2730000,27.3,20.0L,32.6L,31
823,HERE Technologies,Senior Data Scientist,6,2710000,27.1,22.5L,30.0L,9
1362,Innova Solutions,Senior Data Engineer,7,2710000,27.1,16.0L,40.0L,12
1598,Coforge,Data Architect,7,2710000,27.1,18.5L,39.0L,4
935,Swiss Re,Senior Data Scientist,5,2690000,26.9,11.9L,34.5L,4
832,Eli Lilly and Company,Senior Data Scientist,4,2680000,26.8,22.5L,32.0L,8
1562,UST,Data Architect,9,2680000,26.8,16.0L,45.0L,9
852,Verizon,Senior Data Scientist,7,2670000,26.7,11.0L,37.0L,6
1390,McKinsey & Company,Senior Data Engineer,5,2660000,26.6,19.0L,33.0L,8
718,Autodesk,Data Engineer,0,2650000,26.5,6.4L,40.0L,11
1382,Ab Inbev,Senior Data Engineer,8,2640000,26.4,20.0L,35.0L,9
1400,MakeMyTrip,Senior Data Engineer,3,2640000,26.4,17.0L,37.0L,7
762,Optum,Senior Data Scientist,5,2620000,26.2,18.0L,36.0L,28
1459,Mercedes-Benz Research & Development India,Senior Data Engineer,3,2620000,26.2,11.5L,60.0L,5
1567,Genpact,Data Architect,7,2610000,26.1,15.0L,37.0L,7
1369,Cisco Systems,Senior Data Engineer,10,2590000,25.9,22.0L,32.0L,11
1408,Paytm,Senior Data Engineer,4,2590000,25.9,20.0L,33.0L,7
1577,Vodafone Idea,Data Architect,10,2580000,25.8,21.3L,30.0L,5
1474,Advance Auto Parts,Senior Data Engineer,7,2570000,25.7,24.0L,28.9L,4
754,Fractal Analytics,Senior Data Scientist,4,2560000,25.6,18.0L,32.0L,47
993,Shell,Senior Business Analyst,7,2560000,25.6,15.5L,35.2L,53
805,MasterCard,Senior Data Scientist,2,2550000,25.5,18.2L,36.0L,12
1571,Anthology,Data Architect,11,2550000,25.5,25.0L,26.3L,6
1589,GlobalLogic,Data Architect,10,2550000,25.5,22.7L,28.5L,4
1420,Eli Lilly and Company,Senior Data Engineer,7,2540000,25.4,17.4L,32.0L,6
787,Oracle,Senior Data Scientist,3,2520000,25.2,20.0L,37.0L,16
904,Subex,Senior Data Scientist,4,2520000,25.2,11.8L,37.0L,5
1296,Mobile Premier League,Senior Data Analyst,1,2520000,25.2,20.0L,28.0L,7
622,Microsoft Corporation,Data Engineer,3,2510000,25.1,13.0L,40.1L,24
847,Johnson Controls,Senior Data Scientist,4,2510000,25.1,18.5L,32.0L,7
930,HDFC Bank,Senior Data Scientist,6,2510000,25.1,15.2L,33.0L,4
721,Apple,Data Engineer,3,2500000,25,17.0L,35.0L,11
783,Lowe's,Senior Data Scientist,4,2500000,25,16.0L,33.0L,17
870,Quantium Analytics,Senior Data Scientist,5,2500000,25,24.0L,27.0L,6
1380,Hewlett-Packard Enterprise,Senior Data Engineer,3,2490000,24.9,9.0L,35.0L,9
1544,Danaher,Machine Learning Engineer,6,2480000,24.8,24.0L,26.0L,5
1590,L&T Infotech,Data Architect,11,2480000,24.8,20.5L,33.5L,4
1358,BCG,Senior Data Engineer,4,2470000,24.7,20.1L,28.0L,13
906,Hitachi Vantara,Senior Data Scientist,7,2460000,24.6,18.7L,35.0L,5
920,HSBC,Senior Data Scientist,0,2460000,24.6,22.0L,28.0L,5
1552,Accenture,Data Architect,8,2460000,24.6,15.8L,33.0L,55
1432,Apar Technologies,Senior Data Engineer,8,2450000,24.5,21.5L,28.0L,5
765,IBM,Senior Data Scientist,5,2440000,24.4,14.0L,36.0L,25
890,GEP Worldwide,Senior Data Scientist,6,2440000,24.4,22.0L,32.0L,5
802,Genpact,Senior Data Scientist,4,2420000,24.2,10.0L,35.0L,12
785,Bosch Global Software Technologies,Senior Data Scientist,2,2410000,24.1,16.1L,30.0L,16
858,Johnson & Johnson,Senior Data Scientist,5,2410000,24.1,17.0L,35.0L,6
1350,Nagarro,Senior Data Engineer,3,2410000,24.1,17.0L,32.0L,16
1491,Akamai Technologies,Senior Data Engineer,5,2410000,24.1,21.8L,25.1L,4
1428,IHS Markit,Senior Data Engineer,6,2400000,24,19.0L,27.0L,5
1564,Cgi Group,Data Architect,8,2390000,23.9,17.0L,30.6L,8
766,Target,Senior Data Scientist,2,2380000,23.8,15.5L,30.0L,25
1477,Epsilon,Senior Data Engineer,8,2380000,23.8,16.5L,26.8L,4
648,Adobe,Data Engineer,3,2370000,23.7,14.0L,34.0L,18
777,Wolters Kluwer,Senior Data Scientist,6,2370000,23.7,18.0L,30.0L,19
1403,PayPal,Senior Data Engineer,6,2370000,23.7,19.0L,28.0L,7
85,VMware Software,Data Scientist,4,2360000,23.6,11.5L,32.1L,25
616,Koch Business Solutions,Data Engineer,4,2360000,23.6,12.0L,34.0L,27
900,Neal Analytics,Senior Data Scientist,4,2360000,23.6,21.0L,29.0L,5
1349,JLL,Senior Data Engineer,4,2350000,23.5,16.5L,33.0L,16
1568,Ernst & Young,Data Architect,8,2350000,23.5,20.0L,27.7L,6
139,Fidelity Investment,Data Scientist,3,2340000,23.4,13.8L,36.0L,18
863,American Express,Senior Data Scientist,3,2330000,23.3,22.0L,25.1L,6
1325,Shell,Senior Data Engineer,3,2330000,23.3,11.2L,36.0L,42
1548,Hewlett-Packard Enterprise,Machine Learning Engineer,2,2330000,23.3,7.0L,40.0L,4
48,Flipkart,Data Scientist,0,2320000,23.2,14.7L,42.0L,37
155,Exxon Mobil,Data Scientist,2,2320000,23.2,14.0L,30.1L,16
813,Dell,Senior Data Scientist,3,2320000,23.2,15.0L,32.0L,11
827,Epsilon,Senior Data Scientist,4,2320000,23.2,19.0L,26.0L,8
866,Cummins,Senior Data Scientist,3,2320000,23.2,17.8L,29.9L,6
1439,Rakuten,Senior Data Engineer,5,2320000,23.2,16.6L,30.9L,5
713,GSK Pharmaceuticals,Data Engineer,5,2310000,23.1,19.0L,27.0L,11
796,VMware Software,Senior Data Scientist,2,2310000,23.1,16.0L,36.5L,14
801,Wells Fargo India,Senior Data Scientist,5,2310000,23.1,14.0L,30.0L,13
857,GE,Senior Data Scientist,4,2310000,23.1,16.0L,30.0L,6
1346,EPAM Systems,Senior Data Engineer,4,2310000,23.1,17.0L,27.0L,18
1409,Citicorp,Senior Data Engineer,4,2310000,23.1,18.8L,28.0L,7
1561,HCL Technologies,Data Architect,13,2310000,23.1,16.6L,31.0L,10
680,Adidas,Data Engineer,1,2300000,23,14.5L,34.0L,13
760,UnitedHealth,Senior Data Scientist,4,2300000,23,15.6L,30.5L,30
835,Iris Software,Senior Data Scientist,6,2300000,23,17.0L,27.0L,8
