Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities,Year
MADHUSUDHAN REDDY THAKKALA,Adilabad,TRS,0,Graduate Professional,7550000,120000,2004
CHENGARA SURENDRAN,Adoor,CPI,0,Graduate,6274,41438,2004
RAJ BABBAR,Agra,SP, 2 ,Graduate,22326400,1000000,2004
HARIN PATHAK,Ahmedabad,BJP, 1 ,Graduate Professional,10287931,0,2004
GADAKH TUKARAM GANGADHAR,Ahmednagar,NCP, 2 ,Graduate,23446680,4680000,2004
RASA SINGH RAWAT,Ajmer,BJP,0,Post Graduate,1471446,0,2004
MAYAWATI,Akbarpur,BSP, 1 ,Graduate Professional,113544000,0,2004
DHOTRE SANJAY SHAMRAO,Akola,BJP,0,Graduate Professional,12289645,2408285,2004
BIJENDRA SINGH,Aligarh,INC,0,Graduate,2892600,0,2004
Joachim Baxla,Alipurduars,RSP,0,Graduate,485800,0,2004
KUNWAR REWATI RAMAN SINGH URF MANI JI,Allahabad,SP, 1 ,Graduate Professional,22837000,1050000,2004
DR. K. S. MANOJ,Alleppey,CPM,0,Doctorate,800231,54317,2004
DR. KARAN SINGH YADAV,Alwar,INC,0,Post Graduate,4023529,1022864,2004
SELJA,Ambala,INC,0,Post Graduate,7176087,0,2004
RAHUL GANDHI,Amethi,INC,0,Post Graduate,5538123,0,2004
ANANT GUDHE,Amravati,SHS,0,Graduate,3532477,217263,2004
VIRJIBHAI THUMMAR,Amreli,INC, 1 ,Graduate,15227334,87000,2004
NAVJOT SINGH SIDHU,Amritsar,BJP, 1 ,Graduate,64211374,398529,2004
HARISH NAGPAL,Amroha,IND,0,10th Pass,67234623,0,2004
CHALAPATHIRAO PAPPALA,Anakapalli,TDP,0,Graduate,5396505,246000,2004
SOLANKI BHARATSINH MADHAVSINH,Anand,INC,0,Graduate Professional,996308,0,2004
ANANTHA VENKATA RAMI REDDY,Anantapur,INC,0,Post Graduate,3890000,437636,2004
MEHBOOBA MUFTI,Anantnag,JKPDP,0,Graduate Professional,450000,0,2004
MANORANJAN BHAKTA,Andaman & Nicobar Islands,INC,0,Post Graduate,5926740,272061,2004
KUNWAR SARVRAJ SINGH,Aonla,JD(U), 1 ,Graduate Professional,14281673,0,2004
"VELU, R.",Arakkonam,PMK,0,Post Graduate,4610868,97947,2004
Anil Basu,Arambagh,CPM,0,Literate,1042327,0,2004
SUKDEO PASWAN,Araria,BJP, 1 ,10th Pass,5934736,571481,2004
KANTI SINGH,Arrah,RJD,0,Graduate,11602840,33797,2004
TAPIR GAO,Arunachal East,BJP,0,Post Graduate,5516640,50000,2004
KHIREN RIJIJU,Arunachal West,BJP,0,Graduate,6511344,0,2004
