id,country,state,city,station,pollutant_id,last_update,pollutant_min,pollutant_max,pollutant_avg
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",PM2.5,"21-10-2021 01:00:00",69,109,86
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",PM10,"21-10-2021 01:00:00",82,138,105
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",NO2,"21-10-2021 01:00:00",10,42,19
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",NH3,"21-10-2021 01:00:00",4,5,4
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",SO2,"21-10-2021 01:00:00",16,42,27
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",CO,"21-10-2021 01:00:00",15,45,32
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",OZONE,"21-10-2021 01:00:00",4,82,42
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",PM2.5,"21-10-2021 01:00:00",47,111,71
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",PM10,"21-10-2021 01:00:00",49,120,86
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",NO2,"21-10-2021 01:00:00",11,44,23
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",NH3,"21-10-2021 01:00:00",2,6,4
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",SO2,"21-10-2021 01:00:00",1,9,5
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",CO,"21-10-2021 01:00:00",2,52,20
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",OZONE,"21-10-2021 01:00:00",2,34,18
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",PM2.5,"21-10-2021 01:00:00",76,131,92
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",PM10,"21-10-2021 01:00:00",66,120,86
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",NO2,"21-10-2021 01:00:00",14,88,49
18,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",NH3,"21-10-2021 01:00:00",1,3,2
19,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",SO2,"21-10-2021 01:00:00",4,10,7
20,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",CO,"21-10-2021 01:00:00",39,68,51
21,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",OZONE,"21-10-2021 01:00:00",9,49,25
22,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",PM2.5,"21-10-2021 01:00:00",78,312,202
23,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",PM10,"21-10-2021 01:00:00",77,276,157
24,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",NO2,"21-10-2021 01:00:00",13,187,91
25,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",NH3,"21-10-2021 01:00:00",2,9,4
26,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",SO2,"21-10-2021 01:00:00",2,15,10
27,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",CO,"21-10-2021 01:00:00",25,154,46
28,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",OZONE,"21-10-2021 01:00:00",5,46,25
29,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",PM2.5,"21-10-2021 01:00:00",1,31,11
30,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",NO2,"21-10-2021 01:00:00",1,13,5
31,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",NH3,"21-10-2021 01:00:00",1,4,2
32,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",SO2,"21-10-2021 01:00:00",82,101,88
33,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",CO,"21-10-2021 01:00:00",1,28,7
34,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",OZONE,"21-10-2021 01:00:00",13,24,20
35,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",PM2.5,"21-10-2021 01:00:00",2,38,11
36,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",PM10,"21-10-2021 01:00:00",6,32,14
37,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",NO2,"21-10-2021 01:00:00",5,5,5
38,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",NH3,"21-10-2021 01:00:00",1,1,1
39,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",SO2,"21-10-2021 01:00:00",37,40,38
40,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",CO,"21-10-2021 01:00:00",10,19,11
41,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",OZONE,"21-10-2021 01:00:00",18,21,20
42,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",PM2.5,"21-10-2021 01:00:00",52,282,101
43,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",NO2,"21-10-2021 01:00:00",5,7,6
44,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",SO2,"21-10-2021 01:00:00",13,17,15
45,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",CO,"21-10-2021 01:00:00",55,67,59
46,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",OZONE,"21-10-2021 01:00:00",10,11,11
47,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",PM2.5,"21-10-2021 01:00:00",18,70,45
48,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",PM10,"21-10-2021 01:00:00",30,60,42
49,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",NO2,"21-10-2021 01:00:00",15,42,24
50,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",NH3,"21-10-2021 01:00:00",1,4,2
51,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",SO2,"21-10-2021 01:00:00",1,6,3
52,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",CO,"21-10-2021 01:00:00",38,54,42
53,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",OZONE,"21-10-2021 01:00:00",1,49,17
54,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",PM2.5,"21-10-2021 01:00:00",35,131,83
55,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",PM10,"21-10-2021 01:00:00",35,85,60
56,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",NO2,"21-10-2021 01:00:00",9,11,10
57,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",NH3,"21-10-2021 01:00:00",1,3,1
58,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",SO2,"21-10-2021 01:00:00",2,11,7
59,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",CO,"21-10-2021 01:00:00",36,80,72
60,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",OZONE,"21-10-2021 01:00:00",3,59,35
61,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",PM2.5,"21-10-2021 01:00:00",34,95,51
62,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",PM10,"21-10-2021 01:00:00",43,123,65
63,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",NO2,"21-10-2021 01:00:00",10,18,13
64,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",NH3,"21-10-2021 01:00:00",3,4,4
65,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",SO2,"21-10-2021 01:00:00",1,106,10
66,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",CO,"21-10-2021 01:00:00",13,58,46
67,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",OZONE,"21-10-2021 01:00:00",2,103,50
68,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",PM2.5,"21-10-2021 01:00:00",10,474,77
69,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",NO2,"21-10-2021 01:00:00",2,15,4
70,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",SO2,"21-10-2021 01:00:00",4,12,8
71,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",CO,"21-10-2021 01:00:00",32,72,52
72,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",OZONE,"21-10-2021 01:00:00",9,15,13
73,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",PM2.5,"21-10-2021 01:00:00",35,76,55
74,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",PM10,"21-10-2021 01:00:00",76,148,114
75,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",NO2,"21-10-2021 01:00:00",1,295,64
76,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",NH3,"21-10-2021 01:00:00",2,54,12
77,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",SO2,"21-10-2021 01:00:00",4,5,4
78,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",CO,"21-10-2021 01:00:00",25,100,45
79,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",OZONE,"21-10-2021 01:00:00",37,42,39
80,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",PM2.5,"21-10-2021 01:00:00",32,97,65
81,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",PM10,"21-10-2021 01:00:00",32,108,77
82,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",NO2,"21-10-2021 01:00:00",10,38,25
83,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",NH3,"21-10-2021 01:00:00",2,3,2
84,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",SO2,"21-10-2021 01:00:00",8,24,16
85,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",CO,"21-10-2021 01:00:00",16,56,40
86,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",OZONE,"21-10-2021 01:00:00",17,49,33
87,India,Bihar,Patna,"Muradpur, Patna - BSPCB",PM2.5,"21-10-2021 01:00:00",21,64,46
88,India,Bihar,Patna,"Muradpur, Patna - BSPCB",PM10,"21-10-2021 01:00:00",57,136,111
89,India,Bihar,Patna,"Muradpur, Patna - BSPCB",NO2,"21-10-2021 01:00:00",12,69,26
90,India,Bihar,Patna,"Muradpur, Patna - BSPCB",NH3,"21-10-2021 01:00:00",4,32,6
91,India,Bihar,Patna,"Muradpur, Patna - BSPCB",SO2,"21-10-2021 01:00:00",5,10,8
92,India,Bihar,Patna,"Muradpur, Patna - BSPCB",CO,"21-10-2021 01:00:00",57,112,98
93,India,Bihar,Patna,"Muradpur, Patna - BSPCB",OZONE,"21-10-2021 01:00:00",37,207,137
94,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",PM2.5,"21-10-2021 01:00:00",51,144,84
95,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",PM10,"21-10-2021 01:00:00",50,127,95
96,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",NO2,"21-10-2021 01:00:00",14,61,32
