,company_name,job_title,min_experience,avg_salary,min_salary,max_salary,num_of_salaries
0,TCS,Data Scientist,2,7.8L,4.5L,16.0L,841
1,Accenture,Data Scientist,2,12.8L,5.8L,23.0L,501
2,IBM,Data Scientist,2,13.4L,5.3L,25.0L,394
3,Cognizant,Data Scientist,2,9.8L,5.0L,18.0L,318
4,Capgemini,Data Scientist,2,8.6L,4.8L,14.6L,300
5,Infosys,Data Scientist,2,9.3L,4.5L,24.0L,228
6,Wipro,Data Scientist,2,9.7L,4.5L,18.2L,225
7,Tech Mahindra,Data Scientist,2,7.6L,4.1L,15.4L,218
8,Fractal Analytics,Data Scientist,2,15.9L,10.0L,23.0L,166
9,Deloitte,Data Scientist,2,14.2L,7.0L,25.0L,163
10,Ericsson,Data Scientist,3,14.6L,6.0L,26.9L,152
11,HCL Technologies,Data Scientist,2,9.8L,4.5L,20.3L,152
12,Amazon,Data Scientist,2,28.1L,9.5L,50.0L,140
13,UnitedHealth,Data Scientist,2,14.8L,8.3L,21.5L,120
14,Mu Sigma,Data Scientist,1,7.4L,5.0L,12.0L,116
15,Ab Inbev,Data Scientist,2,20.6L,15.0L,26.2L,116
16,L&T Infotech,Data Scientist,2,11.6L,6.5L,20.9L,102
17,Tiger Analytics,Data Scientist,2,14.8L,9.0L,20.0L,102
18,Optum,Data Scientist,2,16.6L,11.0L,22.5L,101
19,Ernst & Young,Data Scientist,2,12.4L,6.7L,20.0L,96
20,Mindtree,Data Scientist,2,10.6L,4.8L,18.7L,94
21,Walmart,Data Scientist,2,28.3L,17.8L,41.0L,85
22,DXC Technology,Data Scientist,2,10.0L,4.4L,15.5L,83
23,Microsoft Corporation,Data Scientist,1,32.1L,13.0L,60.0L,81
24,Genpact,Data Scientist,2,12.2L,5.5L,20.0L,74
25,Hewlett-Packard Enterprise,Data Scientist,2,16.6L,7.1L,26.5L,70
26,Ford Motor,Data Scientist,2,14.4L,10.0L,20.0L,64
27,Reliance jio,Data Scientist,1,15.6L,5.6L,30.0L,61
28,Verizon,Data Scientist,3,14.2L,9.9L,21.8L,58
29,IQVIA,Data Scientist,2,11.4L,6.9L,22.0L,58
30,Shell,Data Scientist,3,20.9L,13.5L,27.0L,57
31,PayPal,Data Scientist,3,27.7L,15.0L,45.0L,57
32,JP Morgan Chase,Data Scientist,2,20.5L,12.0L,31.0L,56
33,EXL Service,Data Scientist,1,14.0L,7.6L,21.0L,55
34,American Express,Data Scientist,2,17.7L,10.8L,26.0L,48
35,Vodafone Idea,Data Scientist,2,13.4L,6.0L,20.0L,45
36,HDFC Bank,Data Scientist,0,15.3L,9.0L,22.2L,44
37,Great Learning,Data Scientist,0,9.3L,7.0L,13.8L,44
38,Reliance Industries,Data Scientist,1,10.4L,6.0L,21.0L,42
39,ZS,Data Scientist,1,16.9L,10.0L,25.0L,42
40,Oracle,Data Scientist,2,16.3L,6.5L,39.0L,42
41,Novartis Healthcare,Data Scientist,2,21.9L,9.0L,36.0L,41
42,TheMathCompany,Data Scientist,2,10.5L,6.0L,16.0L,41
43,PwC,Data Scientist,2,12.6L,7.5L,20.0L,41
44,SAP,Data Scientist,2,17.4L,11.0L,26.0L,40
45,Legato Health Technologies,Data Scientist,1,14.3L,9.0L,21.0L,39
46,Impact Analytics,Data Scientist,0,9.0L,7.0L,13.0L,38
47,Innominds Software,Data Scientist,1,10.7L,6.5L,15.2L,37
48,Flipkart,Data Scientist,0,23.2L,14.7L,42.0L,37
49,Innodatatics,Data Scientist,0,4.5L,2.0L,7.0L,37
50,KPMG,Data Scientist,2,14.1L,9.0L,20.0L,36
51,NTT DATA,Data Scientist,2,7.7L,5.0L,17.2L,36
52,HSBC,Data Scientist,2,14.1L,8.5L,23.9L,36
53,Societe Generale,Data Scientist,1,18.2L,7.4L,26.0L,35
54,Mphasis,Data Scientist,2,8.9L,5.2L,15.0L,35
55,Mercedes-Benz Research & Development India,Data Scientist,2,14.1L,8.2L,21.0L,34
56,BEPEC Solutions,Data Scientist,1,4.9L,3.0L,7.0L,34
57,Brillio,Data Scientist,1,16.0L,9.0L,24.0L,33
58,ABC,Data Scientist,2,19.2L,6.5L,35.0L,32
59,WNS,Data Scientist,1,11.4L,7.2L,17.0L,32
60,Hexaware Technologies,Data Scientist,0,9.7L,4.5L,19.0L,32
61,International School of Engineering,Data Scientist,1,10.5L,5.4L,16.3L,31
62,Wells Fargo India,Data Scientist,2,15.4L,5.5L,31.2L,31
63,Kyndryl,Data Scientist,3,14.1L,6.0L,30.0L,31
64,eClerx,Data Scientist,2,9.3L,6.0L,16.7L,30
65,DBS Bank,Data Scientist,2,14.3L,9.0L,23.7L,30
66,Cyient,Data Scientist,2,10.4L,5.0L,18.5L,30
67,Nagarro,Data Scientist,1,12.1L,7.0L,18.0L,29
68,Freelancer.com,Data Scientist,1,7.1L,3.0L,15.0L,29
69,Cisco Systems,Data Scientist,2,19.0L,12.0L,32.5L,28
70,Bajaj Finserv,Data Scientist,1,11.9L,7.5L,19.4L,28
71,Dell,Data Scientist,1,17.0L,8.0L,27.0L,27
72,Dunnhumby,Data Scientist,1,12.9L,8.5L,18.0L,26
73,Honeywell Technology Solutions,Data Scientist,2,15.1L,8.5L,23.4L,26
74,Bristlecone,Data Scientist,1,9.0L,6.6L,11.5L,26
75,Sigmoid Analytics,Data Scientist,0,14.9L,11.0L,20.0L,26
76,Applied Materials,Data Scientist,2,14.2L,7.0L,22.0L,26
77,Citicorp,Data Scientist,2,19.2L,14.0L,23.5L,26
78,Siemens,Data Scientist,2,13.5L,7.8L,24.0L,26
79,MasterCard,Data Scientist,2,19.6L,12.1L,25.3L,26
80,Bosch Global Software Technologies,Data Scientist,2,11.9L,7.0L,16.6L,25
81,Wolters Kluwer,Data Scientist,0,12.5L,9.9L,17.6L,25
82,Birlasoft,Data Scientist,2,8.0L,4.0L,12.7L,25
83,Atos,Data Scientist,2,13.0L,5.0L,28.0L,25
84,Info Edge,Data Scientist,0,16.9L,12.0L,24.0L,25
85,VMware Software,Data Scientist,4,23.6L,11.5L,32.1L,25
86,Course5,Data Scientist,1,8.1L,4.0L,12.7L,25
87,Bridgei2i Analytics Solutions,Data Scientist,2,9.4L,6.0L,14.4L,24
88,Larsen & Toubro Limited,Data Scientist,1,9.4L,4.5L,23.0L,24
89,iNeuron.ai,Data Scientist,0,5.1L,3.0L,8.0L,24
90,Tredence,Data Scientist,2,14.4L,8.0L,19.0L,23
91,Enquero,Data Scientist,0,11.5L,5.0L,16.2L,23
92,R Systems International,Data Scientist,2,16.2L,7.5L,24.4L,23
93,UST,Data Scientist,3,9.8L,6.5L,15.0L,23
94,Cgi Group,Data Scientist,2,8.2L,4.2L,14.0L,23
95,Bank of America,Data Scientist,2,22.8L,13.2L,30.3L,23
96,Axis Bank,Data Scientist,1,11.7L,7.9L,18.0L,23
97,Ganit Business Solutions,Data Scientist,3,12.6L,8.5L,16.0L,23
98,Virtusa Consulting Services,Data Scientist,1,9.7L,4.8L,15.6L,22
99,ITC Infotech India,Data Scientist,2,10.9L,4.1L,20.5L,22
100,Gramener,Data Scientist,1,9.8L,7.5L,14.0L,22
101,Subex,Data Scientist,1,10.8L,8.2L,13.7L,22
102,Xoriant,Data Scientist,2,10.4L,5.3L,17.6L,22
