Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities,Year
Godam Nagesh,ADILABAD,TRS,0,Post Graduate,10378857,148784,2014
Dr. Ramshankar Katheria,AGRA,BJP, 21 ,Doctorate,14634885,4035000,2014
Paresh Dahyalal Rawal,AHMEDABAD EAST,BJP,0,12th Pass,795211576,81472461,2014
Dr. Solanki Kiritbhai Premjibhai,AHMEDABAD WEST,BJP,0,Post Graduate,34085266,208007,2014
Gandhi Dilipkumar Mansukhlal,AHMEDNAGAR,BJP, 16 ,10th Pass,65316725,34176876,2014
Sanwar Lal Jat,AJMER,BJP,0,Doctorate,18064656,0,2014
Devendra Singh Urf Bhole Singh,AKBARPUR,BJP,0,10th Pass,28546617,559965,2014
Dhotre Sanjay Shyamrao,AKOLA,BJP, 3 ,Graduate Professional,48501735,6928458,2014
K C Venugopal,ALAPPUZHA,INC,0,Post Graduate,12856075,456010,2014
P.k.biju,ALATHUR,CPI(M),0,Post Graduate,3231047,341749,2014
Satish Kumar,ALIGARH,BJP, 1 ,10th Pass,52180006,754800,2014
Dasrath Tirkey,ALIPURDUARS,AITC,0,Graduate,3550353,293909,2014
Shyama Charan Gupta,ALLAHABAD,BJP,0,Graduate Professional,472851707,0,2014
Ajay Tamta,ALMORA,BJP,0,12th Pass,6366653,2757846,2014
Mahant Chand Nath Yogi,ALWAR,BJP,0,Graduate,199653,0,2014
Pandula Ravindra Babu,AMALAPURAM,TDP,0,Graduate Professional,27131000,3000000,2014
Rattan Lal Kataria,AMBALA,BJP,0,Post Graduate,42150634,843229,2014
Hariom,AMBEDKAR NAGAR,BJP,0,Post Graduate,15318114,0,2014
Rahul Gandhi,AMETHI,INC,0,Post Graduate,94006549,1800000,2014
Adsul Anandrao Vithoba,AMRAVATI,SHS, 1 ,Graduate,32596257,1587104,2014
Kachhadiya Naranbhai Bhikhabhai,AMRELI,BJP, 2 ,12th Pass,34164801,4971590,2014
Captain Amarinder Singh,AMRITSAR,INC, 3 ,Graduate,863564071,4853456,2014
Kanwar Singh Tanwar,AMROHA,BJP,0,5th Pass,1788430770,4036151,2014
Muttamsetti Srinivasa Rao,ANAKAPALLE,TDP, 1 ,Illiterate,213294327,64899193,2014
Patel Dilipbhai Manibhai,ANAND,BJP, 4 ,10th Pass,75998610,7632620,2014
Prem Singh Chandumajra,ANANDPUR SAHIB,SAD,0,Post Graduate,141599902,2248200,2014
Jutur Chinna Reddy Divakar Reddy,ANANTAPUR,TDP,0,12th Pass,226481020,3265000,2014
Mehbooba Mufti,ANANTNAG,JKPDP, 1 ,Graduate Professional,5200000,0,2014
Bishnu Pada Ray,ANDAMAN AND NICOBAR ISLANDS,BJP, 1 ,Graduate,5658980,175115,2014
Dharmendra Kumar,AONLA,BJP,0,10th Pass,5364652,0,2014
Hari G,ARAKKONAM,AIADMK, 4 ,Post Graduate,32966706,0,2014
Kothapalli Geetha,ARAKU,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,65147467,43261606,2014
Aparupa Poddar (afrin Ali),ARAMBAG,AITC,0,Post Graduate,3271869,200000,2014
V.elumalai,ARANI,AIADMK,0,Graduate Professional,70492462,25000,2014
Taslim Uddin,ARARIA,RJD, 4 ,Literate,42368468,1026919,2014
Raj Kumar Singh,ARRAH,BJP,0,Graduate Professional,50403293,0,2014
