Day,Average temperature (°F),Average humidity (%),Average dewpoint (°F),Average barometer (in),Average windspeed (mph),Average gustspeed (mph),Average direction (°deg),Rainfall for month (in),Rainfall for year (in),Maximum rain per minute,Maximum temperature (°F),Minimum temperature (°F),Maximum humidity (%),Minimum humidity (%),Maximum pressure,Minimum pressure,Maximum windspeed (mph),Maximum gust speed (mph),Maximum heat index (°F)
1/01/2009,37.8,35,12.7,29.7,26.4,36.8,274,0.0,0.0,0.0,40.1,34.5,44,27,29.762,29.596,41.4,59.0,40.1
2/01/2009,43.2,32,14.7,29.5,12.8,18.0,240,0.0,0.0,0.0,52.8,37.5,43,16,29.669,29.268,35.7,51.0,52.8
3/01/2009,25.7,60,12.7,29.7,8.3,12.2,290,0.0,0.0,0.0,41.2,6.7,89,35,30.232,29.26,25.3,38.0,41.2
4/01/2009,9.3,67,0.1,30.4,2.9,4.5,47,0.0,0.0,0.0,19.4,-0.0,79,35,30.566,30.227,12.7,20.0,32.0
5/01/2009,23.5,30,-5.3,29.9,16.7,23.1,265,0.0,0.0,0.0,30.3,15.1,56,13,30.233,29.568,38.0,53.0,32.0
6/01/2009,24.8,42,4.6,29.8,16.0,23.9,276,0.0,0.0,0.0,29.5,19.7,57,27,29.879,29.637,29.9,48.0,32.0
7/01/2009,34.2,60,21.6,29.7,20.4,30.0,276,0.0,0.0,0.0,39.1,27.3,86,46,29.86,29.602,38.0,54.0,39.1
8/01/2009,42.1,41,20.0,29.8,17.5,25.2,265,0.0,0.0,0.0,51.3,36.9,53,28,29.883000000000006,29.627,35.7,49.0,51.3
9/01/2009,30.3,46,11.4,30.0,6.9,10.6,292,0.0,0.0,0.0,41.5,19.2,82,27,30.446,29.575,24.2,36.0,41.5
10/01/2009,26.2,38,3.6,30.4,18.2,24.6,258,0.0,0.0,0.0,31.9,22.5,48,29,30.489,30.291,31.1,46.0,32.0
11/01/2009,30.1,41,9.0,30.3,17.0,24.6,270,0.0,0.0,0.0,36.3,26.0,52,29,30.421,30.112,31.1,44.0,36.3
12/01/2009,23.4,60,11.0,30.3,7.4,11.0,351,0.03,0.03,0.01,31.6,16.1,87,41,30.524,30.012,25.3,33.0,32.0
13/01/2009,32.4,47,14.6,30.2,16.3,22.6,254,0.03,0.03,0.0,38.0,28.5,54,34,30.34,30.046,32.2,47.0,38.0
14/01/2009,33.1,45,14.2,30.2,9.9,14.0,259,0.03,0.03,0.0,39.3,28.7,53,34,30.271,30.115,29.9,32.0,39.3
15/01/2009,35.7,42,14.5,30.3,7.9,11.8,270,0.03,0.03,0.0,43.6,27.9,59,28,30.405,30.201,19.6,26.0,43.6
16/01/2009,41.6,28,9.7,30.3,11.9,16.7,269,0.03,0.03,0.0,53.0,32.1,46,14,30.432,30.127,26.5,37.0,53.0
17/01/2009,40.9,21,3.1,30.3,6.7,9.7,276,0.03,0.03,0.0,54.1,28.1,28,11,30.435,30.093000000000004,21.9,26.0,54.1
18/01/2009,43.4,15,-1.7,30.3,9.6,14.7,288,0.03,0.03,0.0,52.9,27.3,27,8,30.425,30.19,24.2,36.0,52.9
19/01/2009,46.6,19,3.6,30.3,7.0,10.5,293,0.03,0.03,0.0,57.5,36.9,39,7,30.333,30.154,20.7,28.0,57.5
20/01/2009,40.0,27,-1.0,30.4,4.8,7.4,285,0.03,0.03,0.0,61.0,16.1,69,4,30.607,30.016,18.4,26.0,61.0
21/01/2009,48.2,11,-4.6,30.0,12.4,16.8,257,0.03,0.03,0.0,55.7,41.6,19,6,30.143,29.871,25.3,35.0,55.7
22/01/2009,44.8,40,20.8,29.9,11.8,16.3,264,0.03,0.03,0.0,52.3,38.9,63,17,29.911,29.784,31.1,44.0,52.3
23/01/2009,24.8,81,19.6,30.2,3.7,5.3,52,0.03,0.03,0.0,38.9,12.8,89,63,30.473000000000006,29.855,12.7,16.0,38.9
24/01/2009,35.4,68,25.0,30.0,8.2,10.8,281,0.09,0.09,0.01,47.8,13.1,92,40,30.436,29.689,26.5,35.0,47.8
25/01/2009,21.0,77,14.5,29.9,4.3,6.1,35,0.2,0.2,0.01,39.6,5.2,92,45,30.138,29.652,23.0,26.0,39.6
26/01/2009,2.8,73,-4.0,30.3,3.9,5.6,51,0.2,0.2,0.0,11.4,-3.1,79,65,30.535,29.879,15.0,20.0,32.0
27/01/2009,7.9,51,-8.1,30.4,12.7,17.7,263,0.2,0.2,0.0,19.7,-11.2,76,25,30.619,30.131,34.5,47.0,32.0
28/01/2009,21.8,43,2.6,30.2,19.6,28.0,269,0.2,0.2,0.0,27.0,15.7,57,31,30.25,30.063,43.7,58.0,32.0
29/01/2009,22.5,40,1.3,30.3,9.4,14.4,267,0.2,0.2,0.0,30.0,15.9,58,27,30.408,30.24,28.8,47.0,32.0
30/01/2009,36.0,33,9.4,30.3,15.7,21.3,261,0.21,0.21,0.01,46.2,27.9,46,22,30.435,30.102,32.2,44.0,46.2
31/01/2009,38.3,22,2.7,29.9,15.4,21.4,260,0.21,0.21,0.0,45.1,29.0,32,14,30.136,29.787,32.2,43.0,45.1
1/02/2009,30.8,26,-1.5,30.1,11.4,17.0,279,0.0,0.21,0.0,38.3,25.3,48,12,30.3,29.826,29.9,41.0,38.3
2/02/2009,33.0,33,6.3,30.2,16.6,24.4,271,0.0,0.21,0.0,40.3,26.0,46,25,30.24,30.055,29.9,48.0,40.3
3/02/2009,38.6,37,13.6,30.3,10.3,15.0,275,0.0,0.21,0.0,48.1,31.9,52,19,30.392,30.23,21.9,30.0,48.1
4/02/2009,43.3,16,-1.0,30.2,7.0,10.1,271,0.0,0.21,0.0,55.8,27.6,28,7,30.45,30.031,21.9,30.0,55.8
5/02/2009,45.6,15,0.6,30.0,11.1,15.8,270,0.0,0.21,0.0,53.7,34.2,27,10,30.105,29.802,28.8,36.0,53.7
6/02/2009,33.4,50,14.9,29.9,7.3,10.5,256,0.0,0.21,0.0,44.6,20.7,90,27,30.034,29.667,32.2,47.0,44.6
7/02/2009,34.2,56,19.4,30.1,4.3,6.9,272,0.0,0.21,0.0,43.6,23.3,89,35,30.258000000000006,29.949,18.4,28.0,43.6
8/02/2009,31.5,65,19.9,29.9,2.0,3.4,39,0.0,0.21,0.0,50.0,21.1,83,27,30.238000000000003,29.378,17.3,22.0,50.0
9/02/2009,31.2,48,13.2,29.4,18.4,25.4,268,0.0,0.21,0.0,38.4,26.0,88,31,29.572,29.28,34.5,49.0,38.4
10/02/2009,25.8,56,11.3,29.7,3.5,5.4,334,0.0,0.21,0.0,33.5,14.8,88,36,29.997,29.537,18.4,25.0,33.5
11/02/2009,23.2,53,8.3,30.0,6.4,9.4,267,0.01,0.22,0.01,30.2,10.7,74,36,30.166,29.942,27.6,39.0,32.0
12/02/2009,25.9,48,7.9,30.1,5.6,8.4,298,0.01,0.22,0.0,35.9,11.4,81,25,30.265,29.911,17.3,26.0,35.9
13/02/2009,19.9,77,13.8,30.1,2.6,4.4,67,0.01,0.22,0.0,29.4,11.7,87,54,30.276,29.914,11.5,14.0,32.0
14/02/2009,20.5,75,13.6,30.1,3.6,5.4,266,0.03,0.24,0.01,31.5,12.3,87,43,30.163,29.874,19.6,25.0,32.0
15/02/2009,27.8,32,-0.0,30.2,13.8,19.7,270,0.03,0.24,0.0,35.7,16.9,80,17,30.286,29.989,32.2,40.0,35.7
